WEO Country Code,ISO,Country,Units,Scale,Country/Series-specific Notes,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
636,COD,Democratic Republic of the Congo,Percent change,,,0.465,-1.26,-6.568,-8.445,-10.462,-13.468,-6.144,2.762,-1.935,-7.84,-3.875,-3.802,-8.136,-2.1,2.948,5.578,6.738,6.135,5.321,6.259,6.226,2.855,7.108,6.875,7.087,8.482,9.47,6.916,2.399,3.727,5.816,4.38,-2.15,3.583,4.461,4.313,4.778,4.265,2019
634,COG,Republic of Congo,Percent change,,,21.908,21.269,1.003,3.402,4.181,1.316,-1.401,3.965,3.495,-1.004,8.95,-3.678,11.752,-4.823,0.985,0.459,-0.197,9.211,7.986,-6.614,6.306,11.637,9.931,2.206,9.947,-0.712,6.717,-3.551,-10.702,-4.374,-6.427,-0.622,-6.996,-0.823,1.947,2.611,1.609,2.325,2018
238,CRI,Costa Rica,Percent change,,,3.432,5.666,3.6,2.263,9.197,7.088,4.487,4.121,1.238,5.565,6.962,3.943,3.833,3.49,3.292,4.255,4.337,3.871,7.238,8.168,4.65,-0.971,4.952,4.307,4.797,2.269,3.515,3.632,4.246,3.86,2.66,2.084,-5.497,2.296,3.398,3,3.1,3.2,2019
662,CIV,Côte d'Ivoire,Percent change,,,1.14,2.95,-1.09,0.04,-0.25,-0.18,0.171,5.572,8.136,5.723,4.931,1.618,-2.068,0.121,-1.668,-1.36,1.232,1.721,1.516,1.765,2.543,3.251,2.018,-4.857,10.864,9.272,8.794,8.843,7.179,7.36,6.793,6.517,1.8,6.2,6.47,6.53,6.496,6.497,2017
960,HRV,Croatia,Percent change,,,n/a,n/a,n/a,n/a,n/a,-8,5.9,6.634,5.874,6.645,1.862,-0.936,3.749,3.347,5.116,5.64,4.16,4.314,5.001,5.266,1.76,-7.36,-1.496,-0.31,-2.238,-0.548,-0.104,2.437,3.484,3.139,2.695,2.936,-9,6,4.38,3.5,3.1,3,2019
423,CYP,Cyprus,Percent change,,,8.317,8.088,7.402,0.74,9.365,0.701,5.899,9.924,1.245,2.641,6.112,4.999,5.965,3.952,3.722,2.624,5.025,4.854,4.714,5.097,3.647,-2.016,2.015,0.402,-3.448,-6.551,-1.865,3.375,6.747,4.361,4.057,3.23,-6.438,4.744,3.63,3.529,2.672,2.511,2019
935,CZE,Czech Republic,Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.525,-0.518,-0.357,1.384,4.001,3.043,1.57,3.584,4.814,6.602,6.767,5.57,2.686,-4.657,2.435,1.76,-0.785,-0.046,2.262,5.388,2.537,5.169,3.181,2.335,-6.499,5.117,4.304,3.964,3.038,2.515,2019
128,DNK,Denmark,Percent change,,,-0.008,0.642,1.473,1.397,1.959,0.008,5.329,3.029,2.905,3.26,2.213,2.948,3.749,0.823,0.467,0.388,2.668,2.342,3.912,0.908,-0.511,-4.905,1.868,1.336,0.229,0.935,1.616,2.343,3.248,2.037,2.389,2.348,-4.5,3.5,2.5,2.04,1.74,1.7,2019
611,DJI,Djibouti,Percent change,,,n/a,n/a,n/a,n/a,0.562,-6.751,-1.36,-3.481,-3.732,-1.216,0.114,2.919,0.713,1.793,3.234,3.186,2.779,3.111,4.825,5.017,5.806,1.616,4.147,7.293,4.842,5.001,7.062,7.696,6.653,5.403,8.408,7.498,-1,7,6.5,6.5,6,6,2018
321,DMA,Dominica,Percent change,,,7.817,-0.191,5.419,1.346,2.03,2.162,0.034,3.03,3.105,2.185,3.774,0.355,2.34,-0.063,-2.829,6.353,3.051,0.656,4.659,6.354,7.121,-1.17,0.673,-0.224,-1.059,-0.608,4.389,-2.551,2.522,-9.53,0.533,8.386,-8.782,3.269,3.224,3.031,1.753,1.5,2018
243,DOM,Dominican Republic,Percent change,,,2.156,4.401,-5.454,0.945,11.221,7.365,2.6,5.685,5.978,8.885,6.714,5.94,4.662,2.46,4.495,-1.346,2.57,9.428,9.174,7.416,3.21,0.946,8.34,3.133,2.717,4.875,7.05,6.927,6.659,4.667,6.983,5.052,-5.987,3.996,4.973,5.031,4.964,5.036,2018
248,ECU,Ecuador,Percent change,,,10.486,0.285,3.008,5.113,3.614,2,4.258,2.253,1.732,4.328,3.267,-4.739,1.092,4.016,4.097,2.723,8.211,5.291,4.404,2.19,6.357,0.566,3.525,7.868,5.642,4.947,3.789,0.099,-1.226,2.368,1.289,0.054,-11.002,4.76,1.279,1.719,2.027,2.285,2019
469,EGY,Egypt,Percent change,,,3.994,2.993,2.35,2.1,0.3,2.9,4.188,4.484,4.879,5.919,7.543,6.11,5.383,3.524,3.186,3.193,4.092,4.472,6.844,7.088,7.156,4.674,5.147,1.765,2.226,3.302,2.916,4.372,4.347,4.077,5.314,5.558,3.547,2.755,4.962,5.29,5.294,5.567,2019
253,SLV,El Salvador,Percent change,,,1.878,0.962,4.831,1.494,7.018,5.819,4.69,4.735,0.818,3.135,2.654,2.161,1.126,0.877,1.581,1.562,0.891,2.707,4.343,1.861,2.127,-2.083,2.106,3.812,2.814,2.239,1.71,2.395,2.542,2.253,2.43,2.385,-8.982,4.043,3.2,2.8,2.54,2.245,2019
642,GNQ,Equatorial Guinea,Percent change,,,2.655,-1.229,2.537,-1.245,33.002,10.461,16.808,26.51,52.678,147.973,24.815,26.395,110.505,60.023,19.621,14.455,30.391,8.21,6.501,15.282,17.799,1.343,-8.924,6.524,8.313,-4.133,0.415,-9.11,-8.817,-5.667,-5.801,-6.1,-6.017,2.196,-4.7,-1.342,-1.628,-2.189,2017
643,ERI,Eritrea,Percent change,,,n/a,n/a,n/a,n/a,n/a,12.882,20.918,2.325,9.136,7.9,1.966,0.187,-12.355,8.755,3.005,-2.656,1.452,2.574,-0.969,1.427,-19.436,12.179,10.853,25.71,1.886,-10.456,30.934,-20.621,7.391,-10.015,13.032,3.836,-0.627,5.738,3.743,3.888,3.917,3.949,2018
939,EST,Estonia,Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,-1.642,2.155,4.936,13.046,4.33,-0.403,10.106,5.98,6.802,7.567,6.767,9.49,9.719,7.574,-5.089,-14.434,2.69,7.444,3.125,1.346,2.987,1.845,3.188,5.499,4.355,4.996,-5.2,4.5,3.7,3.2,3,3,2019
734,SWZ,Eswatini,Percent change,,,7.571,9.408,9.859,1.76,3.227,3.106,2.401,4.826,3.842,3.103,2.604,2.951,1.76,1.055,4.38,3.88,3.624,5.999,5.992,4.435,0.822,1.565,3.794,2.247,5.391,3.862,0.913,2.312,1.268,2.025,2.351,1.146,-3.465,1.436,0.796,0.975,1.905,2.093,2018
644,ETH,Ethiopia,Percent change,,,0.574,-0.457,2.602,-7.218,-8.907,13.363,3.486,6.121,13.533,2.84,-4.185,6.294,9.838,7.4,1.6,-2.1,11.7,12.6,11.5,11.8,11.2,10,10.6,11.4,8.7,9.9,10.3,10.4,8,10.21,7.703,8.967,1.946,-0.023,8.918,8.832,8.618,7.964,2019
819,FJI,Fiji,Percent change,,,3.462,13.888,5.802,-2.7,6.1,2.6,5.1,2.6,4.8,-2.4,1.3,8.7,-1.7,1.9,3.2,0.8,5.4,-1.3,1.9,-0.9,1,-1.4,3,2.7,1.411,4.734,5.604,4.664,2.51,5.426,3.526,-1.3,-21,11.5,8.5,5,4,2.2,2018
172,FIN,Finland,Percent change,,,5.211,5.087,0.211,-5.886,-3.294,-0.662,3.964,4.217,3.667,6.334,5.457,4.38,5.773,2.61,1.707,2.004,3.992,2.78,4.028,5.299,0.784,-8.075,3.186,2.548,-1.397,-0.902,-0.365,0.544,2.76,3.27,1.516,1.147,-3.979,3.572,2.004,1.751,1.287,1.27,2019
132,FRA,France,Percent change,,,4.743,4.344,2.924,1.048,1.599,-0.629,2.358,2.107,1.413,2.336,3.589,3.421,3.924,1.984,1.136,0.823,2.83,1.663,2.449,2.425,0.255,-2.873,1.949,2.193,0.313,0.576,0.956,1.113,1.095,2.291,1.793,1.509,-9.757,6.026,2.862,2.292,1.925,1.678,2019
646,GAB,Gabon,Percent change,,,3.5,15.431,5.147,6.124,-3.087,3.947,3.713,4.974,3.625,5.738,3.478,-8.943,-1.883,2.15,0.187,1.701,1.12,-0.786,-1.908,6.333,1.733,-2.279,6.27,7.092,5.251,5.517,4.435,3.879,2.091,0.473,1.006,3.777,-2.67,2.137,3.895,4.178,4.513,4.496,2019
648,GMB,The Gambia,Percent change,,,1.702,4.331,5.696,2.163,1.763,3.833,-3.398,3.32,2.906,1.417,6.5,6.399,5.525,5.753,-3.247,6.874,7.046,-2.352,-0.556,3.043,6.256,6.666,5.908,-8.13,5.242,2.873,-1.407,4.058,1.943,4.823,7.235,6.057,-1.8,6,6.8,7,6.5,5.8,2018
915,GEO,Georgia,Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.6,10.5,10.519,3.105,2.869,1.838,4.805,5.474,11.058,5.794,9.59,9.42,12.579,2.419,-3.651,6.249,7.358,6.369,3.621,4.431,3.023,2.906,4.842,4.843,5.148,-5,4.985,6,5.8,5.501,5.2,2019
134,DEU,Germany,Percent change,,,3.736,3.913,5.723,5.011,1.92,-0.977,2.399,1.541,0.816,1.785,2.02,1.887,2.904,1.687,-0.201,-0.703,1.184,0.726,3.814,2.982,0.959,-5.696,4.185,3.914,0.427,0.432,2.217,1.487,2.23,2.604,1.268,0.555,-5.983,4.184,3.063,1.79,1.328,1.198,2019
652,GHA,Ghana,Percent change,,,6.579,4.523,3.591,4.805,4.374,4.748,3.519,4.214,4.745,5.821,4.996,4.532,3.624,3.808,4.625,5.096,5.364,6.214,5.835,4.125,8.966,5.546,7.755,14.198,8.504,7.189,2.898,2.178,3.448,8.144,6.264,6.478,0.927,4.197,4.143,7.353,4.584,4.452,2018
174,GRC,Greece,Percent change,,,4.288,3.799,--,3.102,0.697,-1.599,2,2.1,2.862,4.484,3.895,3.072,3.92,4.132,3.923,5.795,5.061,0.599,5.652,3.274,-0.335,-4.301,-5.478,-9.132,-7.3,-3.242,0.74,-0.438,-0.191,1.505,1.934,1.87,-9.504,4.117,5.579,3.742,2.433,1.011,2019
328,GRD,Grenada,Percent change,,,2.916,3.758,4.241,1.423,-0.813,-1.956,1.838,2.196,4.386,4.916,11.808,6.981,5.063,-2.024,3.438,9.464,-0.647,13.273,-3.993,6.124,0.948,-6.613,-0.511,0.765,-1.155,2.351,7.342,6.445,3.74,4.439,4.141,2.992,-11.779,3.049,5.126,5.037,3.381,2.735,2019
258,GTM,Guatemala,Percent change,,,3.892,3.943,3.101,3,4.6,3.4,3.5,4.4,2.8,4.1,4.6,3.7,2.5,2.4,4.244,2.617,2.969,3.065,5.575,6.049,3.662,0.632,2.806,4.445,3.148,3.485,4.444,4.092,2.678,3.023,3.215,3.846,-2,3.951,3.751,3.5,3.251,3.251,2019
656,GIN,Guinea,Percent change,,,6.308,4.003,4.324,2.497,3.273,5.048,4.001,4.68,4.462,5.182,3.644,3.812,2.503,3.658,5.165,1.249,2.34,2.997,2.497,6.512,4.142,-1.538,4.219,5.614,5.915,3.934,3.708,3.813,10.828,10.338,6.181,5.645,1.449,6.647,7.01,5.23,5.002,4.962,2018
654,GNB,Guinea-Bissau,Percent change,,,1.958,2.925,4.58,7.305,3.095,2.276,2.963,4.016,3.747,5.994,-22.446,16.815,1.1,4.786,3.654,-0.286,1.172,6.56,2.667,2.56,4.525,2.448,5.605,8.085,-1.713,3.256,0.965,6.134,5.307,4.789,3.358,4.5,-2.9,3,4,5,5,5,2018
336,GUY,Guyana,Percent change,,,-5.981,-4.944,-3.01,6.026,7.758,8.201,8.482,5.055,7.956,6.185,-1.707,2.986,-1.345,2.26,1.149,-0.652,1.566,-1.942,5.127,7.02,1.977,3.319,4.371,5.437,5.039,3.653,1.686,0.687,3.807,3.734,4.441,5.353,26.205,8.12,29.491,22.284,2.127,1.143,2019
263,HTI,Haiti,Percent change,,,0.559,-1.131,-0.44,1.262,-2.251,-4.922,-11.603,9.892,4.143,2.705,2.182,2.71,0.87,-1.044,-0.251,0.364,-3.523,1.805,2.249,3.343,0.844,3.083,-5.498,5.524,2.885,4.241,2.803,1.211,1.453,1.173,1.484,-1.197,-4,1.2,1,1.1,1.2,1.4,2018
268,HND,Honduras,Percent change,,,4.61,4.326,0.097,3.252,5.624,6.23,-1.303,4.08,3.578,4.994,2.902,-0.736,7.291,2.723,3.754,4.547,6.232,6.051,6.567,6.188,4.232,-2.432,3.731,3.836,4.129,2.792,3.058,3.84,3.893,4.843,3.697,2.651,-6.55,4.94,3.3,3.465,3.64,3.74,2019
532,HKG,Hong Kong SAR,Percent change,,,8.512,2.277,3.831,5.702,6.235,6.201,6.036,2.374,4.259,5.1,-5.883,2.507,7.664,0.561,1.657,3.056,8.7,7.388,7.033,6.465,2.128,-2.459,6.768,4.815,1.7,3.102,2.762,2.388,2.169,3.791,2.847,-1.249,-7.465,3.667,3.398,2.789,2.781,2.886,2019
944,HUN,Hungary,Percent change,,,-0.065,0.736,-3.497,-11.892,-3.064,-0.576,2.947,2.541,0.082,3.143,3.9,3.071,4.479,4.074,4.741,4.085,4.823,4.244,4.031,0.242,1.058,-6.7,0.664,1.819,-1.472,1.963,4.195,3.846,2.2,4.323,5.094,4.928,-6.1,3.9,4,3.8,3.2,2.6,2019
