WEO Country Code,ISO,Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
634,COG,Republic of Congo,21.908,21.269,1.003,2.395,2.612,-0.98,-5.493,3.985,4.29,-0.625,3.738,-2.582,7.576,3.803,4.582,0.813,3.477,7.756,6.236,-1.582,5.572,7.845,8.714,3.393,3.829,3.272,6.843,2.619,-2.829,-1.772,1.59,3.973,2.781,1.92,0.049,1.262,2.252,2017
238,CRI,Costa Rica,3.432,5.666,3.6,2.263,9.197,7.088,4.487,4.121,1.238,5.565,6.962,3.943,3.833,3.49,3.292,4.255,4.337,3.871,7.238,8.168,4.65,-0.971,4.952,4.307,4.797,2.269,3.515,3.632,4.246,3.397,2.634,2.025,2.528,2.799,2.961,3.195,3.498,2018
662,CIV,Côte d'Ivoire,1.14,2.95,-1.09,0.04,-0.25,-0.18,0.171,5.572,8.136,5.723,4.931,1.618,-2.068,0.121,-1.668,-1.36,1.232,1.721,1.516,1.765,2.543,3.251,2.018,-4.857,10.864,9.272,8.794,8.843,7.972,7.702,7.433,7.492,7.294,7.006,6.724,6.492,6.413,2016
960,HRV,Croatia,n/a,n/a,n/a,n/a,n/a,-8,5.9,6.634,5.874,6.645,1.862,-0.936,3.749,3.453,5.254,5.581,3.915,4.11,4.868,5.284,2.036,-7.292,-1.473,-0.34,-2.3,-0.492,-0.088,2.401,3.536,2.921,2.63,3.032,2.704,2.518,2.271,2.062,2.033,2018
423,CYP,Cyprus,8.317,8.088,7.402,0.74,9.365,0.701,5.899,9.924,1.248,2.642,6.11,4.997,5.967,3.952,3.723,2.624,5.027,4.853,4.714,5.098,3.647,-2.016,1.335,0.404,-2.879,-5.798,-1.313,1.963,4.811,4.469,3.878,3.11,2.885,2.712,2.605,2.458,2.509,2018
935,CZE,Czech Republic,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.525,-0.595,-0.329,1.433,4.267,2.909,1.652,3.603,4.907,6.533,6.854,5.603,2.682,-4.803,2.273,1.778,-0.8,-0.484,2.715,5.309,2.451,4.353,2.958,2.45,2.617,2.646,2.547,2.541,2.535,2018
128,DNK,Denmark,-0.008,0.642,1.473,1.397,1.959,0.008,5.329,3.029,2.905,3.26,2.213,2.948,3.749,0.823,0.467,0.388,2.668,2.342,3.912,0.908,-0.511,-4.905,1.868,1.336,0.229,0.935,1.616,2.343,2.398,2.266,1.489,1.698,1.905,1.723,1.645,1.524,1.511,2018
611,DJI,Djibouti,n/a,n/a,n/a,n/a,0.562,-6.751,-1.36,-3.481,-3.732,-1.216,0.114,2.919,0.713,1.793,3.234,3.186,2.779,3.111,4.825,5.017,5.806,1.616,4.147,7.293,4.842,5.001,7.062,7.675,6.919,5.077,5.5,6,6,6,6,6,6,2018
321,DMA,Dominica,7.817,-0.191,5.419,1.346,2.03,2.162,0.034,3.03,3.105,2.185,3.774,0.355,2.34,-0.063,-2.829,6.353,3.051,0.656,4.659,6.354,7.121,-1.17,0.673,-0.224,-1.059,-0.608,4.389,-2.551,2.522,-9.53,0.533,9.372,4.935,4.171,3.569,2.087,1.484,2017
243,DOM,Dominican Republic,2.156,4.401,-5.454,0.945,11.221,7.365,2.6,5.685,5.978,8.885,6.714,5.94,4.662,2.46,4.495,-1.346,2.57,9.428,9.174,7.416,3.21,0.946,8.34,3.133,2.717,4.875,7.05,6.927,6.659,4.667,6.983,4.99,5.231,4.952,5.018,5,5,2018
248,ECU,Ecuador,10.486,0.285,3.008,5.113,3.614,2,4.258,2.253,1.732,4.328,3.267,-4.739,1.092,4.016,4.097,2.723,8.211,5.291,4.404,2.19,6.357,0.566,3.525,7.868,5.642,4.947,3.789,0.099,-1.226,2.368,1.377,-0.483,0.478,1.636,2.716,2.507,2.512,2018
469,EGY,Egypt,3.994,2.993,2.35,2.1,0.3,2.9,4.188,4.484,4.879,5.919,7.543,6.11,5.383,3.524,3.186,3.193,4.092,4.472,6.844,7.088,7.156,4.674,5.147,1.765,2.226,3.302,2.916,4.372,4.347,4.077,5.314,5.516,5.868,5.955,5.967,5.95,6.003,2018
253,SLV,El Salvador,1.878,0.962,4.831,1.494,7.018,5.819,4.69,4.735,0.818,3.135,2.654,2.161,1.126,0.877,1.581,1.562,0.891,3.117,4.343,1.861,2.127,-2.083,2.106,3.812,2.814,2.239,1.71,2.395,2.511,2.305,2.537,2.5,2.3,2.2,2.2,2.2,2.2,2018
642,GNQ,Equatorial Guinea,2.655,-1.229,2.537,-1.245,33.002,10.461,16.808,26.51,52.678,147.973,24.815,26.395,110.494,60.023,19.621,14.455,30.391,8.21,6.507,15.282,17.799,1.343,-8.924,6.524,8.313,-4.133,0.415,-9.11,-8.817,-4.708,-5.728,-4.641,-4.992,-5.261,-5.636,-3.224,-2.809,2017
643,ERI,Eritrea,n/a,n/a,n/a,n/a,n/a,12.882,20.918,2.325,9.136,7.9,1.966,0.187,-12.355,8.755,3.005,-2.656,1.452,2.574,-0.969,1.427,-19.436,12.179,10.853,25.71,1.886,-10.456,30.934,-20.621,7.391,-9.619,12.186,3.102,3.857,4.03,7.158,4.742,4.775,2018
939,EST,Estonia,n/a,n/a,n/a,n/a,n/a,n/a,-1.642,2.155,4.936,13.046,4.33,-0.403,10.107,5.97,6.802,7.567,6.768,9.49,9.719,7.574,-5.089,-14.434,2.707,7.442,3.11,1.346,2.987,1.845,2.632,5.749,4.761,3.2,2.9,2.8,2.8,2.8,2.8,2018
734,SWZ,Eswatini,7.571,9.408,9.859,1.76,3.227,3.106,2.401,4.826,3.842,3.103,2.604,2.951,1.76,1.055,4.38,3.88,3.624,5.999,5.992,4.435,0.822,1.565,3.794,2.247,5.391,3.862,0.913,2.312,1.268,2.025,2.351,1.3,0.509,0.638,0.543,0.576,0.467,2017
644,ETH,Ethiopia,0.574,-0.457,2.602,-7.218,-8.907,13.363,3.486,6.121,13.533,2.84,-4.185,6.294,9.838,7.4,1.6,-2.1,11.7,12.6,11.5,11.8,11.2,10,10.6,11.4,8.7,9.9,10.3,10.4,8,10.148,7.705,7.44,7.198,7.126,7.023,6.609,6.514,2018
819,FJI,Fiji,3.462,13.888,5.802,-2.7,6.1,2.6,5.1,2.6,4.8,-2.4,1.3,8.7,-1.7,1.9,3.2,0.8,5.4,-1.3,1.9,-0.9,1,-1.4,3,2.7,1.411,4.734,5.604,4.664,2.51,5.425,3.526,2.7,3,3.2,3.2,3.2,3.2,2018
172,FIN,Finland,5.211,5.087,0.677,-5.915,-3.324,-0.735,3.939,4.208,3.658,6.253,5.428,4.444,5.635,2.581,1.68,1.994,3.926,2.781,4.055,5.185,0.721,-8.269,2.992,2.571,-1.426,-0.759,-0.632,0.501,2.772,3.043,1.658,1.244,1.465,1.474,1.391,1.343,1.348,2018
132,FRA,France,4.743,4.344,2.924,1.048,1.599,-0.629,2.358,2.107,1.413,2.336,3.589,3.421,3.924,1.984,1.136,0.823,2.83,1.663,2.449,2.425,0.255,-2.873,1.949,2.193,0.313,0.576,0.956,1.113,1.095,2.26,1.725,1.249,1.263,1.338,1.391,1.392,1.432,2018
646,GAB,Gabon,3.5,15.431,5.147,6.124,-3.087,3.947,3.713,4.974,3.625,5.738,3.478,-8.943,-1.883,2.15,0.187,1.701,1.12,-0.786,-1.908,6.333,1.733,-2.279,6.27,7.092,5.251,5.517,4.435,3.879,2.091,0.499,0.846,2.941,3.419,3.723,4.475,4.531,4.546,2018
648,GMB,The Gambia,1.702,4.331,5.696,2.163,1.763,3.833,-3.398,3.32,2.906,1.417,6.5,6.399,5.525,5.753,-3.247,6.874,7.046,-2.352,-0.556,3.043,6.256,6.666,5.908,-8.13,5.242,2.873,-1.407,4.058,1.943,4.823,6.547,6.528,6.405,5.6,5.4,5.124,4.8,2018
915,GEO,Georgia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.6,10.5,10.519,3.105,2.869,1.838,4.805,5.474,11.058,5.794,9.59,9.42,12.579,2.419,-3.651,6.249,7.222,6.351,3.387,4.624,2.881,2.847,4.833,4.717,4.641,4.801,5,5.2,5.2,5.187,2018
